date,target_quarter,ny_backcast,ny_nowcast,ny_next_q
2022-12-02,2022:Q4,,,1.79
2022-12-09,2022:Q4,,,1.76
2022-12-16,2022:Q4,,,1.58
2022-12-23,2022:Q4,,,1.33
2022-12-30,2022:Q4,,,1.31
2023-01-06,2023:Q1,,1.57,
2023-01-13,2023:Q1,,1.64,
2023-01-20,2023:Q1,,0.79,
2023-01-27,2023:Q1,,1.2,
2023-02-03,2023:Q1,,1.59,
2023-02-10,2023:Q1,,1.48,
2023-02-17,2023:Q1,,1.14,
2023-02-24,2023:Q1,,2.84,2.0
2023-03-03,2023:Q1,,1.44,1.45
2023-03-10,2023:Q1,,1.88,1.53
2023-03-17,2023:Q1,,1.89,1.3
2023-03-24,2023:Q1,,1.47,1.1
2023-03-31,2023:Q1,,1.4,1.08
2023-04-07,2023:Q2,1.34,0.67,
2023-04-14,2023:Q2,1.75,0.86,
2023-04-21,2023:Q2,1.72,1.12,
2023-04-28,2023:Q2,1.86,0.52,
2023-05-05,2023:Q2,,1.28,
2023-05-12,2023:Q2,,1.19,
2023-05-19,2023:Q2,,1.44,
2023-05-26,2023:Q2,,1.57,2.0
2023-06-02,2023:Q2,,1.61,1.96
2023-06-09,2023:Q2,,1.43,1.9
2023-06-16,2023:Q2,,1.31,1.81
2023-06-23,2023:Q2,,1.52,2.0
2023-06-30,2023:Q2,,1.63,2.07
2023-07-07,2023:Q3,1.16,1.53,
2023-07-14,2023:Q3,1.16,1.51,
2023-07-21,2023:Q3,1.08,1.25,
2023-07-28,2023:Q3,1.07,1.93,
2023-08-04,2023:Q3,,1.81,
2023-08-11,2023:Q3,,1.7,
2023-08-18,2023:Q3,,2.34,
2023-08-25,2023:Q3,,2.12,
2023-09-01,2023:Q3,,2.09,2.21
2023-09-08,2023:Q3,,2.25,2.29
2023-09-15,2023:Q3,,2.27,2.35
2023-09-22,2023:Q3,,2.12,1.98
2023-09-29,2023:Q3,,2.08,1.98
2023-10-06,2023:Q4,2.5,2.404,
2023-10-13,2023:Q4,2.5,2.34,
2023-10-20,2023:Q4,2.55,2.27,
2023-10-27,2023:Q4,2.58,2.79,
2023-11-03,2023:Q4,,2.41,
2023-11-10,2023:Q4,,2.51,
2023-11-17,2023:Q4,,2.45,
2023-11-24,2023:Q4,,2.17,
2023-12-01,2023:Q4,,2.26,2.05
2023-12-08,2023:Q4,,2.33,2.13
2023-12-15,2023:Q4,,2.21,1.98
2023-12-22,2023:Q4,,2.4,2.21
2023-12-29,2023:Q4,,2.39,2.21
2024-01-05,2024:Q1,2.54,2.68,
2024-01-12,2024:Q1,2.41,2.45,
2024-01-19,2024:Q1,2.41,2.42,
2024-01-26,2024:Q1,2.41,2.8,
2024-02-02,2024:Q1,,3.31,
2024-02-09,2024:Q1,,3.33,
2024-02-16,2024:Q1,,2.8,
2024-02-23,2024:Q1,,2.8,
2024-03-01,2024:Q1,,2.12,2.52
2024-03-08,2024:Q1,,2.14,2.53
2024-03-15,2024:Q1,,1.78,2.09
2024-03-22,2024:Q1,,1.9,2.19
2024-03-29,2024:Q1,,1.87,2.21
2024-04-05,2024:Q2,2.25,2.62,
2024-04-12,2024:Q2,2.23,2.58,
2024-04-19,2024:Q2,2.228,2.714,
2024-04-26,2024:Q2,2.251,2.738,
2024-05-03,2024:Q2,,2.229,
2024-05-10,2024:Q2,,2.23,
2024-05-17,2024:Q2,,1.88,
2024-05-24,2024:Q2,,2.04,
2024-05-31,2024:Q2,,1.76,1.96
2024-06-07,2024:Q2,,1.9,2.04
2024-06-14,2024:Q2,,1.908,2.134
2024-06-21,2024:Q2,,1.891,2.17
2024-06-28,2024:Q2,,1.928,2.214
2024-07-05,2024:Q3,1.789,2.106,
2024-07-12,2024:Q3,1.798,2.167,
2024-07-19,2024:Q3,2.011,2.664,
2024-07-26,2024:Q3,2.015,2.701,
2024-08-02,2024:Q3,,2.113,
2024-08-09,2024:Q3,,2.238,
2024-08-16,2024:Q3,,1.84,
2024-08-23,2024:Q3,,1.941,
2024-08-30,2024:Q3,,2.488,2.116
2024-09-06,2024:Q3,,2.611,2.213
2024-09-13,2024:Q3,,2.567,2.175
2024-09-20,2024:Q3,,3.004,2.74
2024-09-27,2024:Q3,,2.991,2.797
2024-10-04,2024:Q4,3.064,2.763,
2024-10-11,2024:Q4,3.099,2.753,
2024-10-18,2024:Q4,2.998,2.607,
2024-10-25,2024:Q4,2.912,2.465,
2024-11-01,2024:Q4,2.88,2.007,
2024-11-08,2024:Q4,,2.059,
2024-11-15,2024:Q4,,2.064,
2024-11-22,2024:Q4,,1.909,
2024-11-29,2024:Q4,,1.81,
2024-12-06,2024:Q4,,1.887,2.377
2024-12-13,2024:Q4,,1.853,2.291
2024-12-20,2024:Q4,,1.899,2.127
2024-12-27,2024:Q4,,1.859,2.082
2025-01-03,2025:Q1,1.896,2.208,
2025-01-10,2025:Q1,2.356,2.738,
2025-01-17,2025:Q1,2.563,2.9995,
2025-01-24,2025:Q1,2.563,2.9995,
2025-01-31,2025:Q1,2.511,2.915,
2025-02-07,2025:Q1,,3.12,
2025-02-14,2025:Q1,,3.015,
2025-02-21,2025:Q1,,2.946,
2025-02-28,2025:Q1,,2.935,2.849
2025-03-07,2025:Q1,,2.672,2.575
2025-03-14,2025:Q1,,2.693,2.658
2025-03-21,2025:Q1,,2.723,2.641
2025-03-28,2025:Q1,,2.862,2.629
2025-04-04,2025:Q2,2.604,2.438,
2025-04-11,2025:Q2,2.591,2.618,
2025-04-18,2025:Q2,2.578,2.605,
2025-04-25,2025:Q2,2.631,2.715,
2025-05-02,2025:Q2,2.585,2.335,
2025-05-09,2025:Q2,,2.425,
2025-05-16,2025:Q2,,2.346,
2025-05-23,2025:Q2,,2.429,
2025-05-30,2025:Q2,,2.417,2.538
2025-06-06,2025:Q2,,2.329,2.398
2025-06-13,2025:Q2,,2.339,2.504
2025-06-20,2025:Q2,,1.913,2.061
2025-06-27,2025:Q2,,1.715,1.917
2025-07-04,2025:Q3,1.557,1.781,
2025-07-11,2025:Q3,1.56,1.78,
2025-07-18,2025:Q3,1.71,2.44,
2025-07-25,2025:Q3,1.68,2.37,
2025-08-01,2025:Q3,1.66,2.12,
2025-08-08,2025:Q3,,2.02,
2025-08-15,2025:Q3,,2.06,
2025-08-22,2025:Q3,,2.01,
2025-08-29,2025:Q3,,2.22,2.37
2025-09-05,2025:Q3,,2.1,2.28
2025-09-12,2025:Q3,,2.08,2.16
2025-09-19,2025:Q3,,2.1,2.18
2025-09-26,2025:Q3,,2.55,2.46
2025-10-03,2025:Q4,2.35,2.25,
2025-10-10,2025:Q4,2.34,2.23,
2025-10-17,2025:Q4,2.34,2.25,
2025-10-24,2025:Q4,2.35,2.26,
2025-10-31,2025:Q4,2.35,2.26,
2025-11-07,2025:Q4,2.31,2.1,
2025-11-14,2025:Q4,2.31,2.1,
2025-11-21,2025:Q4,2.31,2.31,
2025-11-28,2025:Q4,2.31,2.33,2.66
2025-12-05,2025:Q4,,1.73,2.22
2025-12-12,2025:Q4,,1.81,2.24
2025-12-19,2025:Q4,,1.71,2.11
2025-12-26,2025:Q4,,2.07,2.17
2026-01-02,2026:Q1,2.07,2.17,
2026-01-09,2026:Q1,2.62,2.61,
2026-01-16,2026:Q1,2.71,2.75,
2026-01-23,2026:Q1,2.74,2.73,
2026-01-30,2026:Q1,2.74,2.73,
2026-02-06,2026:Q1,2.69,2.59,
2026-02-13,2026:Q1,2.71,2.63,
2026-02-20,2026:Q1,2.73,2.37,
2026-02-27,2026:Q1,,2.38,
2026-03-06,2026:Q1,,2.23,
2026-03-13,2026:Q1,,2.09,2.68
2026-03-20,2026:Q1,,2.07,2.67
2026-03-27,2026:Q1,,2.09,2.68
2026-04-03,2026:Q2,2.41,2.82,
2026-04-10,2026:Q2,2.31,2.6,
2026-04-17,2026:Q2,2.31,2.75,
2026-04-24,2026:Q2,2.36,2.81,
2026-05-01,2026:Q2,2.35,2.52,
